freq_khz,volume_l,L_wave_peak_amp_water,L_wave_time_ms_water,T_wave_peak_amp_water,T_wave_time_ms_water,L_wave_peakamp_air,L_wave_time_air_ms,T_wave_peakamp_air,T_wave_time_air_ms,L_Wave_RF,T_wave_RF,dtof_L_wave,dtof_T_wave
200,2.5,2.197980929,0.36864959,3.815477118,0.64364158,2.204746264,0.36873163,3.890968945,0.64351562,0.9969314676,0.9805981934,0.00008204,0.00012596
200,3,2.189338414,0.36862111,3.811993587,0.6436611,2.204746264,0.36873163,3.890968945,0.64351562,0.9930115085,0.9797029073,0.00011052,0.00014548
200,4,2.185805736,0.36862117,3.805131872,0.64366116,2.204746264,0.36873163,3.890968945,0.64351562,0.9914092029,0.9779394095,0.00011046,0.00014554
200,5,2.181290141,0.36860639,3.800730364,0.64366238,2.204746264,0.36873163,3.890968945,0.64351562,0.9893610783,0.976808198,0.00012524,0.00014676
200,6,2.161197903,0.36859033,3.810777939,0.64366233,2.204746264,0.36873163,3.890968945,0.64351562,0.9802479034,0.979390479,0.0001413,0.00014671
200,7,2.138924403,0.36860593,3.80138085,0.64367792,2.204746264,0.36873163,3.890968945,0.64351562,0.9701453803,0.9769753766,0.0001257,0.0001623
200,8,2.142080705,0.36859858,3.818200305,0.64368657,2.204746264,0.36873163,3.890968945,0.64351562,0.9715769746,0.9812980672,0.00013305,0.00017095
200,9,2.120476084,0.36860418,3.809548608,0.64369217,2.204746264,0.36873163,3.890968945,0.64351562,0.9617778328,0.9790745345,0.00012745,0.00017655
200,10,2.08969668,0.36859035,3.822995556,0.64366235,2.204746264,0.36873163,3.890968945,0.64351562,0.9478173129,0.9825304724,0.00014128,0.00014673
200,11,2.088515338,0.36861439,3.810515485,0.64370238,2.204746264,0.36873163,3.890968945,0.64351562,0.9472814953,0.9793230269,0.00011724,0.00018676
200,12,2.09035322,0.36855833,3.792977995,0.64371033,2.204746264,0.36873163,3.890968945,0.64351562,0.9481150979,0.9748157975,0.0001733,0.00019471
200,12.5,2.095887718,0.36854146,3.789242803,0.64374945,2.204746264,0.36873163,3.890968945,0.64351562,0.950625363,0.9738558329,0.00019017,0.00023383
200,13,2.076970969,0.36858769,3.791899168,0.64372367,2.204746264,0.36873163,3.890968945,0.64351562,0.9420453514,0.9745385331,0.00014394,0.00020805
200,14,2.074396889,0.36856521,3.781080052,0.64374919,2.204746264,0.36873163,3.890968945,0.64351562,0.9408778338,0.9717579621,0.00016642,0.00023357
200,15,2.067622381,0.3685887,3.772312555,0.64374869,2.204746264,0.36873163,3.890968945,0.64351562,0.937805141,0.9695046679,0.00014293,0.00023307
200,16,2.067660943,0.36856501,3.746583768,0.64374899,2.204746264,0.36873163,3.890968945,0.64351562,0.9378226315,0.9628922311,0.00016662,0.00023337
200,18,2.036792318,0.3685414,3.732272044,0.64374939,2.204746264,0.36873163,3.890968945,0.64351562,0.9238216438,0.9592140407,0.00019023,0.00023377
200,20,2.017206665,0.36849305,3.72742172,0.64377303,2.204746264,0.36873163,3.890968945,0.64351562,0.9149382392,0.9579674814,0.00023858,0.00025741
200,22,2.000891845,0.36848943,3.71518312,0.64376941,2.204746264,0.36873163,3.890968945,0.64351562,0.9075383762,0.9548220952,0.0002422,0.00025379
200,24,1.988475948,0.36849219,3.694087233,0.64377217,2.204746264,0.36873163,3.890968945,0.64351562,0.9019069359,0.9494003384,0.00023944,0.00025655
200,26,1.967637608,0.36844374,3.686371321,0.64377172,2.204746264,0.36873163,3.890968945,0.64351562,0.8924553541,0.9474173074,0.00028789,0.0002561
200,28,1.937682496,0.36844528,3.673263543,0.64379726,2.204746264,0.36873163,3.890968945,0.64351562,0.8788687059,0.9440485378,0.00028635,0.00028164
200,30,1.929153488,0.3684448,3.677122022,0.64382078,2.204746264,0.36873163,3.890968945,0.64351562,0.8750002301,0.9450401878,0.00028683,0.00030516
200,30.5,1.918049319,0.36846919,3.66782593,0.64384517,2.204746264,0.36873163,3.890968945,0.64351562,0.8699637458,0.9426510419,0.00026244,0.00032955
200,31,1.910123041,0.36846952,3.659364803,0.6438695,2.204746264,0.36873163,3.890968945,0.64351562,0.8663686483,0.9404764867,0.00026211,0.00035388
200,31.5,1.909001027,0.36842125,3.644626949,0.64386923,2.204746264,0.36873163,3.890968945,0.64351562,0.86585974,0.9366887788,0.00031038,0.00035361
300,0.5,2.387257099,0.36889435,4.511142012,0.64430235,2.393241997,0.36894163,4.502852129,0.64430162,0.9974992507,1.001841029,0.00004728,0.00000073
300,1,2.377175746,0.36891041,4.521143901,0.6442864,2.393241997,0.36894163,4.502852129,0.64430162,0.9932868254,1.004062264,0.00003122,-0.00001522
300,1.5,2.381447,0.36882986,4.517914212,0.64428585,2.393241997,0.36894163,4.502852129,0.64430162,0.9950715403,1.00334501,0.00011177,-0.00001577
300,2,2.379438403,0.36878237,4.514661295,0.64427036,2.393241997,0.36894163,4.502852129,0.64430162,0.9942322616,1.002622597,0.00015926,-0.00003126
300,2.5,2.374611442,0.36878194,4.512619267,0.64425393,2.393241997,0.36894163,4.502852129,0.64430162,0.9922153485,1.0021691,0.00015969,-0.00004769
300,3,2.367989896,0.36880368,4.512698263,0.64424367,2.393241997,0.36894163,4.502852129,0.64430162,0.9894485802,1.002186644,0.00013795,-0.00005795
300,5,2.352302924,0.36873305,4.504726961,0.64423704,2.393241997,0.36894163,4.502852129,0.64430162,0.9828938848,1.000416366,0.00020858,-0.00006458
300,6,2.327706298,0.36874714,4.505449892,0.64426713,2.393241997,0.36894163,4.502852129,0.64430162,0.972616351,1.000576915,0.00019449,-0.00003449
